id;text;i_18_n;group;link;external_link;target;icon;disabled;hide;hide_in_breadcrumb;shortcut;shortcut_root;reuse;code;description;type;order;api_permission_codes;parent_id;component_file;redirect
1;主导航;;true;/;;TOP;;false;false;true;false;false;false;index;;MENU;1;;NULL;LAYOUT;/dashboard
2;仪表盘;;false;/dashboard;;PARENT;ant-design:appstore-outlined;false;false;false;false;false;false;dashboard;;MENU;1;;1;LAYOUT;/dashboard/analysis
3;分析页;;false;/dashboard/analysis;;BLANK;;false;false;false;false;false;false;dashboard-analysis;;MENU;0;;2;dashboard/Analysis;
77;设置;;true;/settings;;NULL;;false;false;true;false;false;false;settings;;MENU;1;;NULL;LAYOUT;/entities/system
87;业务;;true;/entities;;NULL;;false;false;true;false;false;false;business;;MENU;1;;NULL;LAYOUT;
105;系统设置;;false;/settings/system;;NULL;ion:settings-outline;false;false;false;false;false;false;settings-system;;MENU;1;;87;LAYOUT;
107;缓存管理;;false;/system/cache-manage;;SELF;;false;false;false;false;false;false;system-cache-manage;;MENU;1;;105;system/cache-manage/cache-manage;
108;数据可视;;false;/entities/report;;SELF;ion:bar-chart-outline;false;false;false;false;false;false;report;;MENU;1;;87;LAYOUT;
133;编辑角色;;false;/system/authority/:entityId/edit;;SELF;;false;true;false;false;false;false;systemAuthorityEdit;;MENU;1;;105;system/authority/authority-edit;;NULL
134;新建角色;;false;/system/authority/new;;SELF;;false;true;false;false;false;false;systemAuthorityNew;;MENU;1;;105;system/authority/authority-edit;;NULL
135;查看角色;;false;/system/authority/detail;;SELF;;false;true;false;false;false;false;systemAuthorityDetail;;MENU;1;;105;system/authority/authority-detail;;NULL
136;可视权限;;false;/system/view-permission;;SELF;;false;false;false;false;false;false;systemViewPermissionList;;MENU;1;;105;system/view-permission/view-permission-list;;NULL
137;编辑可视权限;;false;/system/view-permission/:entityId/edit;;SELF;;false;true;false;false;false;false;systemViewPermissionEdit;;MENU;1;;105;system/view-permission/view-permission-edit;;NULL
138;新建可视权限;;false;/system/view-permission/new;;SELF;;false;true;false;false;false;false;systemViewPermissionNew;;MENU;1;;105;system/view-permission/view-permission-edit;;NULL
139;查看可视权限;;false;/system/view-permission/detail;;SELF;;false;true;false;false;false;false;systemViewPermissionDetail;;MENU;1;;105;system/view-permission/view-permission-detail;;NULL
140;短信服务配置;;false;/system/sms-supplier;;SELF;;false;false;false;false;false;false;systemSmsSupplierList;;MENU;1;;105;files/sms-supplier/sms-supplier-list;;NULL
141;编辑短信服务配置;;false;/system/sms-supplier/:entityId/edit;;SELF;;false;true;false;false;false;false;systemSmsSupplierEdit;;MENU;1;;105;files/sms-supplier/sms-supplier-edit;;NULL
142;新建短信服务配置;;false;/system/sms-supplier/new;;SELF;;false;true;false;false;false;false;systemSmsSupplierNew;;MENU;1;;105;files/sms-supplier/sms-supplier-edit;;NULL
143;查看短信服务配置;;false;/system/sms-supplier/detail;;SELF;;false;true;false;false;false;false;systemSmsSupplierDetail;;MENU;1;;105;files/sms-supplier/sms-supplier-detail;;NULL
144;上传图片;;false;/files/upload-image;;SELF;;false;false;false;false;false;false;ossUploadImageList;;MENU;1;;122;files/upload-image/upload-image-list;;NULL
145;编辑上传图片;;false;/files/upload-image/:entityId/edit;;SELF;;false;true;false;false;false;false;ossUploadImageEdit;;MENU;1;;122;files/upload-image/upload-image-edit;;NULL
146;新建上传图片;;false;/files/upload-image/new;;SELF;;false;true;false;false;false;false;ossUploadImageNew;;MENU;1;;122;files/upload-image/upload-image-edit;;NULL
147;查看上传图片;;false;/files/upload-image/detail;;SELF;;false;true;false;false;false;false;ossUploadImageDetail;;MENU;1;;122;files/upload-image/upload-image-detail;;NULL
148;日志管理;;false;/log;;SELF;NULL;false;false;false;false;false;false;log;;MENU;1;;87;LAYOUT;;NULL
149;系统日志;;false;/log/sys-log;;SELF;;false;false;false;false;false;false;logSysLogList;;MENU;1;;148;log/sys-log/sys-log-list;;NULL
150;编辑系统日志;;false;/log/sys-log/:entityId/edit;;SELF;;false;true;false;false;false;false;logSysLogEdit;;MENU;1;;148;log/sys-log/sys-log-edit;;NULL
151;新建系统日志;;false;/log/sys-log/new;;SELF;;false;true;false;false;false;false;logSysLogNew;;MENU;1;;148;log/sys-log/sys-log-edit;;NULL
152;查看系统日志;;false;/log/sys-log/detail;;SELF;;false;true;false;false;false;false;logSysLogDetail;;MENU;1;;148;log/sys-log/sys-log-detail;;NULL
153;短信配置;;false;/system/sms-config;;SELF;;false;false;false;false;false;false;systemSmsConfigList;;MENU;1;;105;files/sms-config/sms-config-list;;NULL
154;编辑短信配置;;false;/system/sms-config/:entityId/edit;;SELF;;false;true;false;false;false;false;systemSmsConfigEdit;;MENU;1;;105;files/sms-config/sms-config-edit;;NULL
155;新建短信配置;;false;/system/sms-config/new;;SELF;;false;true;false;false;false;false;systemSmsConfigNew;;MENU;1;;105;files/sms-config/sms-config-edit;;NULL
156;查看短信配置;;false;/system/sms-config/detail;;SELF;;false;true;false;false;false;false;systemSmsConfigDetail;;MENU;1;;105;files/sms-config/sms-config-detail;;NULL
157;业务类型;;false;/settings/business-type;;SELF;;false;false;false;false;false;false;systemBusinessTypeList;;MENU;1;;127;settings/business-type/business-type-list;;NULL
158;编辑业务类型;;false;/settings/business-type/:entityId/edit;;SELF;;false;true;false;false;false;false;systemBusinessTypeEdit;;MENU;1;;127;settings/business-type/business-type-edit;;NULL
159;新建业务类型;;false;/settings/business-type/new;;SELF;;false;true;false;false;false;false;systemBusinessTypeNew;;MENU;1;;127;settings/business-type/business-type-edit;;NULL
160;查看业务类型;;false;/settings/business-type/detail;;SELF;;false;true;false;false;false;false;systemBusinessTypeDetail;;MENU;1;;127;settings/business-type/business-type-detail;;NULL
161;岗位;;false;/settings/position;;SELF;;false;false;false;false;false;false;systemPositionList;;MENU;1;;127;settings/position/position-list;;NULL
162;编辑岗位;;false;/settings/position/:entityId/edit;;SELF;;false;true;false;false;false;false;systemPositionEdit;;MENU;1;;127;settings/position/position-edit;;NULL
163;新建岗位;;false;/settings/position/new;;SELF;;false;true;false;false;false;false;systemPositionNew;;MENU;1;;127;settings/position/position-edit;;NULL
164;查看岗位;;false;/settings/position/detail;;SELF;;false;true;false;false;false;false;systemPositionDetail;;MENU;1;;127;settings/position/position-detail;;NULL
165;上传文件;;false;/files/upload-file;;SELF;;false;false;false;false;false;false;ossUploadFileList;;MENU;1;;122;files/upload-file/upload-file-list;;NULL
166;编辑上传文件;;false;/files/upload-file/:entityId/edit;;SELF;;false;true;false;false;false;false;ossUploadFileEdit;;MENU;1;;122;files/upload-file/upload-file-edit;;NULL
167;新建上传文件;;false;/files/upload-file/new;;SELF;;false;true;false;false;false;false;ossUploadFileNew;;MENU;1;;122;files/upload-file/upload-file-edit;;NULL
168;查看上传文件;;false;/files/upload-file/detail;;SELF;;false;true;false;false;false;false;ossUploadFileDetail;;MENU;1;;122;files/upload-file/upload-file-detail;;NULL
169;行政区划码;;false;/settings/region-code;;SELF;;false;false;false;false;false;false;systemRegionCodeList;;MENU;1;;127;settings/region-code/region-code-list;;NULL
170;编辑行政区划码;;false;/settings/region-code/:entityId/edit;;SELF;;false;true;false;false;false;false;systemRegionCodeEdit;;MENU;1;;127;settings/region-code/region-code-edit;;NULL
171;新建行政区划码;;false;/settings/region-code/new;;SELF;;false;true;false;false;false;false;systemRegionCodeNew;;MENU;1;;127;settings/region-code/region-code-edit;;NULL
172;查看行政区划码;;false;/settings/region-code/detail;;SELF;;false;true;false;false;false;false;systemRegionCodeDetail;;MENU;1;;127;settings/region-code/region-code-detail;;NULL
173;taskjob;;false;/taskjob;;SELF;NULL;false;false;false;false;false;false;taskjob;;MENU;1;;87;LAYOUT;;NULL
174;定时任务;;false;/taskjob/task-job-config;;SELF;;false;false;false;false;false;false;taskjobTaskJobConfigList;;MENU;1;;173;taskjob/task-job-config/task-job-config-list;;NULL
175;编辑定时任务;;false;/taskjob/task-job-config/:entityId/edit;;SELF;;false;true;false;false;false;false;taskjobTaskJobConfigEdit;;MENU;1;;173;taskjob/task-job-config/task-job-config-edit;;NULL
176;新建定时任务;;false;/taskjob/task-job-config/new;;SELF;;false;true;false;false;false;false;taskjobTaskJobConfigNew;;MENU;1;;173;taskjob/task-job-config/task-job-config-edit;;NULL
177;查看定时任务;;false;/taskjob/task-job-config/detail;;SELF;;false;true;false;false;false;false;taskjobTaskJobConfigDetail;;MENU;1;;173;taskjob/task-job-config/task-job-config-detail;;NULL
178;用户;;false;/system/user;;SELF;;false;false;false;false;false;false;systemUserList;;MENU;1;;105;system/user/user-list;;NULL
179;编辑用户;;false;/system/user/:entityId/edit;;SELF;;false;true;false;false;false;false;systemUserEdit;;MENU;1;;105;system/user/user-edit;;NULL
180;新建用户;;false;/system/user/new;;SELF;;false;true;false;false;false;false;systemUserNew;;MENU;1;;105;system/user/user-edit;;NULL
181;查看用户;;false;/system/user/detail;;SELF;;false;true;false;false;false;false;systemUserDetail;;MENU;1;;105;system/user/user-detail;;NULL
182;部门;;false;/settings/department;;SELF;;false;false;false;false;false;false;systemDepartmentList;;MENU;1;;127;settings/department/department-list;;NULL
183;编辑部门;;false;/settings/department/:entityId/edit;;SELF;;false;true;false;false;false;false;systemDepartmentEdit;;MENU;1;;127;settings/department/department-edit;;NULL
184;新建部门;;false;/settings/department/new;;SELF;;false;true;false;false;false;false;systemDepartmentNew;;MENU;1;;127;settings/department/department-edit;;NULL
185;查看部门;;false;/settings/department/detail;;SELF;;false;true;false;false;false;false;systemDepartmentDetail;;MENU;1;;127;settings/department/department-detail;;NULL
186;数据权限规则;;false;/system/data-permission-rule;;SELF;;false;false;false;false;false;false;systemDataPermissionRuleList;;MENU;1;;105;system/data-permission-rule/data-permission-rule-list;;NULL
187;编辑数据权限规则;;false;/system/data-permission-rule/:entityId/edit;;SELF;;false;true;false;false;false;false;systemDataPermissionRuleEdit;;MENU;1;;105;system/data-permission-rule/data-permission-rule-edit;;NULL
188;新建数据权限规则;;false;/system/data-permission-rule/new;;SELF;;false;true;false;false;false;false;systemDataPermissionRuleNew;;MENU;1;;105;system/data-permission-rule/data-permission-rule-edit;;NULL
189;查看数据权限规则;;false;/system/data-permission-rule/detail;;SELF;;false;true;false;false;false;false;systemDataPermissionRuleDetail;;MENU;1;;105;system/data-permission-rule/data-permission-rule-detail;;NULL
190;网站配置;;false;/settings/site-config;;SELF;;false;false;false;false;false;false;systemSiteConfigList;;MENU;1;;127;settings/site-config/site-config-list;;NULL
191;编辑网站配置;;false;/settings/site-config/:entityId/edit;;SELF;;false;true;false;false;false;false;systemSiteConfigEdit;;MENU;1;;127;settings/site-config/site-config-edit;;NULL
192;新建网站配置;;false;/settings/site-config/new;;SELF;;false;true;false;false;false;false;systemSiteConfigNew;;MENU;1;;127;settings/site-config/site-config-edit;;NULL
193;查看网站配置;;false;/settings/site-config/detail;;SELF;;false;true;false;false;false;false;systemSiteConfigDetail;;MENU;1;;127;settings/site-config/site-config-detail;;NULL
194;短信消息;;false;/system/sms-message;;SELF;;false;false;false;false;false;false;systemSmsMessageList;;MENU;1;;105;system/sms-message/sms-message-list;;NULL
195;编辑短信消息;;false;/system/sms-message/:entityId/edit;;SELF;;false;true;false;false;false;false;systemSmsMessageEdit;;MENU;1;;105;system/sms-message/sms-message-edit;;NULL
196;新建短信消息;;false;/system/sms-message/new;;SELF;;false;true;false;false;false;false;systemSmsMessageNew;;MENU;1;;105;system/sms-message/sms-message-edit;;NULL
197;查看短信消息;;false;/system/sms-message/detail;;SELF;;false;true;false;false;false;false;systemSmsMessageDetail;;MENU;1;;105;system/sms-message/sms-message-detail;;NULL
198;消息模板;;false;/system/sms-template;;SELF;;false;false;false;false;false;false;systemSmsTemplateList;;MENU;1;;105;system/sms-template/sms-template-list;;NULL
199;编辑消息模板;;false;/system/sms-template/:entityId/edit;;SELF;;false;true;false;false;false;false;systemSmsTemplateEdit;;MENU;1;;105;system/sms-template/sms-template-edit;;NULL
200;新建消息模板;;false;/system/sms-template/new;;SELF;;false;true;false;false;false;false;systemSmsTemplateNew;;MENU;1;;105;system/sms-template/sms-template-edit;;NULL
201;查看消息模板;;false;/system/sms-template/detail;;SELF;;false;true;false;false;false;false;systemSmsTemplateDetail;;MENU;1;;105;system/sms-template/sms-template-detail;;NULL
202;系统通告;;false;/system/announcement;;SELF;;false;false;false;false;false;false;systemAnnouncementList;;MENU;1;;105;system/announcement/announcement-list;;NULL
203;编辑系统通告;;false;/system/announcement/:entityId/edit;;SELF;;false;true;false;false;false;false;systemAnnouncementEdit;;MENU;1;;105;system/announcement/announcement-edit;;NULL
204;新建系统通告;;false;/system/announcement/new;;SELF;;false;true;false;false;false;false;systemAnnouncementNew;;MENU;1;;105;system/announcement/announcement-edit;;NULL
205;查看系统通告;;false;/system/announcement/detail;;SELF;;false;true;false;false;false;false;systemAnnouncementDetail;;MENU;1;;105;system/announcement/announcement-detail;;NULL
206;填充规则;;false;/settings/sys-fill-rule;;SELF;;false;false;false;false;false;false;systemSysFillRuleList;;MENU;1;;127;settings/sys-fill-rule/sys-fill-rule-list;;NULL
207;编辑填充规则;;false;/settings/sys-fill-rule/:entityId/edit;;SELF;;false;true;false;false;false;false;systemSysFillRuleEdit;;MENU;1;;127;settings/sys-fill-rule/sys-fill-rule-edit;;NULL
208;新建填充规则;;false;/settings/sys-fill-rule/new;;SELF;;false;true;false;false;false;false;systemSysFillRuleNew;;MENU;1;;127;settings/sys-fill-rule/sys-fill-rule-edit;;NULL
209;查看填充规则;;false;/settings/sys-fill-rule/detail;;SELF;;false;true;false;false;false;false;systemSysFillRuleDetail;;MENU;1;;127;settings/sys-fill-rule/sys-fill-rule-detail;;NULL
